symbol,total_records,average_volume,total_trades,average_percent_change,average_price_range,up_count,down_count,flat_count,avg_price_range,min_price_range,max_price_range,stddev_price_range,volatility_rank,total_quote_volume,activity_rank,interpretation
BTCUSDT,837,817.5971326164885,1.35409828E8,-0.016870540503744588,449.005149342891,399,437,1,449.005149342891,59.06999999999971,3254.1699999999983,320.7879611347329,1,4.397679806930999E10,1,Highest activity and highest volatility
ETHUSDT,852,13575.278767605629,1.2605759E8,-0.02164402603113235,15.315187793427201,408,443,1,15.315187793427201,2.3999999999998636,108.07999999999993,10.924092449804869,2,2.012698346490999E10,2,Normal market activity
SOLUSDT,852,114403.5777699529,3.4958903E7,0.00396007107508714,0.8074295774647888,432,416,4,0.8074295774647888,0.1799999999999926,4.409999999999997,0.5095982044071155,4,7.038746214290002E9,3,Normal market activity
BNBUSDT,867,7573.113402537488,3.2924776E7,-0.0023023050153605103,4.644279123414067,441,426,0,4.644279123414067,0.8500000000000227,40.99000000000001,3.512076036802441,3,4.066720969350006E9,4,Normal market activity
XRPUSDT,847,4135455.1809917297,2.5670154E7,-0.027400023535460692,0.010495867768594926,175,195,477,0.010495867768594926,0.0,0.10000000000000009,0.008307885651111869,7,4.070589470739998E9,5,Normal market activity
DOGEUSDT,864,2.6606151063657407E7,2.241964E7,0.06480562904174007,8.217592592592597E-4,21,19,824,8.217592592592597E-4,0.0,0.010000000000000009,0.0027479162917766844,10,1.97352155595E9,6,Normal market activity
AVAXUSDT,839,112251.22134684144,8382100.0,-0.029808107358927007,0.08365911799761601,358,400,81,0.08365911799761601,0.019999999999999574,0.4399999999999995,0.054857882211662067,5,6.546937615100006E8,7,Normal market activity
LINKUSDT,861,98068.72679442531,5376873.0,-0.01835119959699278,0.08324041811846704,387,397,77,0.08324041811846704,0.019999999999999574,0.4800000000000004,0.05453673003229725,6,6.757357568799992E8,8,Normal market activity
ADAUSDT,862,7452852.240719258,4681223.0,-0.011425586714423118,0.002354988399071927,48,52,762,0.002354988399071927,0.0,0.010000000000000009,0.004245565227357734,9,1.127351952800001E9,9,Normal market activity
DOTUSDT,878,274403.8348747152,1337734.0,-0.0345092632974144,0.011833712984054539,189,203,486,0.011833712984054539,0.0,0.06000000000000005,0.008281515052042636,8,2.4212471884999996E8,10,Normal market activity
